eng_TAMsimp,TOTAL,Way0,WayX,MSyn
PAST,11219,6207,5005,7
PAST ~ PRES PART,190,172,18,0
PAST ~ PAST PERF,182,91,91,0
PRES PERF,177,135,42,0
PRES,162,130,32,0
?PAST ~ PAST,124,114,10,0
PAST ~ PRES PERF,112,97,15,0
?PAST,102,84,18,0
PAST ~ PRES,78,65,13,0
PAST ~ TO INF,71,62,9,0
PAST PERF,55,16,39,0
PRES ~ PRES PERF,41,33,8,0
PAST ~ PAST PROG,27,17,10,0
PRES PART,26,25,1,0
FUT ~ PRES,15,9,6,0
?PRES,13,11,2,0
?PRES ~ PRES,13,11,2,0
MOD would,11,4,7,0
MOD could ~ PAST,11,5,6,0
TO INF,9,9,0,0
?VB ~ PAST,9,9,0,0
?PRES ~ PAST,7,6,1,0
FUT ~ PAST,6,3,3,0
?PAST ~ PRES PART,6,5,1,0
PAST PROG,5,2,1,2
?VB,5,5,0,0
PRES PART ~ PRES PERF,5,4,1,0
FUT ~ PRES PERF,5,5,0,0
PAST PERF ~ PRES PERF,4,3,1,0
MOD would ~ PAST,4,3,1,0
?PAST did not ~ PAST,4,4,0,0
PRES ~ PRES PART,4,4,0,0
PRES ~ PRES PROG,4,4,0,0
?TO INF ~ PAST,3,3,0,0
MOD let ~ PAST,3,3,0,0
?PAST ~ PRES,3,2,1,0
?PAST ~ ?VB,3,3,0,0
PRES ~ TO INF,3,3,0,0
IMPV ~ PAST,3,2,1,0
MOD let,3,3,0,0
FUT ~ MOD shall,3,1,2,0
PAST PERF ~ PRES PART,3,3,0,0
PRES PERF ~ TO INF,3,3,0,0
??PAST,2,2,0,0
?PRES PERF ~ PRES,2,2,0,0
PRES PERF ~ PRES PROG,2,2,0,0
?PAST ~ IMPV,2,2,0,0
?VB ~ PRES,2,2,0,0
?VB ~ PRES PERF,2,2,0,0
FUT,2,2,0,0
?PRES ~ ?PRES PERF,2,2,0,0
?PRES ~ PRES PERF,2,1,1,0
?FUT ~ PAST,2,2,0,0
?PRES PERF,2,2,0,0
MOD can ~ PRES,2,2,0,0
??VB ~ ?PAST question,2,2,0,0
MOD may ~ PAST,2,2,0,0
?PRES ~ PRES PART,2,2,0,0
?PAST wh-question,1,1,0,0
?PAST wh-question ~ ?PRES,1,1,0,0
?PAST question,1,1,0,0
?PAST do-support ~ PAST,1,1,0,0
?PAST wh-question ~ MOD let,1,1,0,0
?PAST did not ~ TO INF,1,1,0,0
?PAST wh-question ~ PAST,1,1,0,0
?PAST wh-question ~ TO INF,1,0,1,0
?PAST ~ ?TO INF,1,1,0,0
?MOD would ~ PAST,1,1,0,0
?PAST did not ~ ?PAST question,1,1,0,0
?PAST PERF ~ PAST PERF,1,1,0,0
?MOD would,1,1,0,0
?MOD let ~ PAST,1,1,0,0
?FUT ~ PRES PART,1,1,0,0
?FUT ~ PRES,1,1,0,0
?FUT ~ ?PRES,1,0,1,0
??VB ~ PRES PERF,1,1,0,0
??VB ~ PRES,1,1,0,0
??VB ~ PAST,1,1,0,0
??PRES ~ PAST,1,1,0,0
??PAST ~ PAST,1,1,0,0
??PAST ~ ?TO INF,1,1,0,0
??PAST ~ ?PAST,1,1,0,0
PRES PERF PROG,1,1,0,0
MOD let ~ PRES PART,1,1,0,0
PRES PART ~ TO INF,1,1,0,0
?PAST ~ PAST PERF,1,1,0,0
MOD may,1,1,0,0
MOD let ~ MOD may,1,1,0,0
MOD is to ~ PRES PERF,1,1,0,0
MOD may ~ PRES,1,1,0,0
MOD could ~ MOD might,1,1,0,0
IMPV ~ PRES PART,1,1,0,0
IMPV ~ PRES,1,1,0,0
MOD might ~ PRES PERF,1,1,0,0
MOD must ~ PAST,1,1,0,0
MOD must ~ PRES,1,0,1,0
MOD should ~ MOD would,1,0,1,0
FUT ~ MOD would,1,1,0,0
MOD should ~ PRES,1,1,0,0
MOD should ~ TO INF,1,1,0,0
MOD would ~ PRES,1,0,1,0
?TO INF ~ PRES,1,1,0,0
?TO INF,1,1,0,0
?PRES ~ TO INF,1,1,0,0
PAST PERF ~ TO INF,1,1,0,0
PAST PROG ~ PRES PART,1,0,1,0
?PRES ~ FUT,1,1,0,0
?PRES ~ ?VB,1,1,0,0
?PRES PERF ~ PAST,1,1,0,0
MOD let ~ PRES,1,1,0,0
?PAST ~ PRES PERF,1,1,0,0
PAST PROG ~ PRES PERF PROG,1,1,0,0
PAST ~ PAST PERF PROG,1,0,1,0
PAST PROG ~ PRES PERF,1,0,1,0
