mother_verbtype,PAST,PAST ~ PRES PART,PRES,PRES PERF,PAST ~ PAST PERF,PAST ~ PRES PERF,PAST ~ PRES,PAST ~ TO INF,PAST PERF,PRES ~ PRES PERF,PRES PART,PAST ~ PAST PROG,FUT ~ PRES,MOD would,MOD could ~ PAST,TO INF,FUT ~ PAST,MOD let ~ PAST,PRES ~ PRES PART,PRES ~ TO INF,PRES PART ~ PRES PERF,PAST PROG,PRES ~ PRES PROG,MOD would ~ PAST,IMPV ~ PAST,FUT ~ PRES PERF,PAST PERF ~ PRES PERF,PAST PERF ~ PRES PART,PRES PERF ~ TO INF,PAST ~ VB,MOD let,FUT ~ MOD shall,FUT,PRES PERF ~ PRES PROG,MOD may ~ PAST,MOD can ~ PRES,PRES PERF PROG,MOD is to ~ PRES PERF,FUT ~ PRES PART,FUT ~ MOD would,PRES PART ~ TO INF,IMPV ~ PRES,IMPV ~ PRES PART,MOD can ~ PAST,MOD could ~ MOD might,MOD might ~ PRES PERF,PAST ~ PAST PERF PROG,MOD let ~ MOD may,MOD must ~ PAST,MOD let ~ PRES,PAST PROG ~ PRES PERF PROG,PAST PROG ~ PRES PERF,PAST PROG ~ PRES PART,MOD let ~ PRES PART,PAST PERF ~ TO INF,MOD may,MOD would ~ PRES,MOD may ~ PRES,MOD should ~ TO INF,MOD should ~ PRES,MOD should ~ MOD would,MOD must ~ PRES,??VB ~ PAST
wayq,0.21,0.0,-0.06,-0.05,-0.01,-0.04,-0.02,0.0,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0
qtl,-0.18,-0.0,0.03,0.06,0.01,0.04,0.02,-0.0,0.01,0.01,0.0,0.0,0.01,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
Ø,-0.13,-0.01,0.03,0.05,0.0,0.02,0.01,0.01,-0.0,0.01,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
ptcp,-0.2,0.0,0.14,-0.01,0.02,0.0,0.02,0.0,-0.0,0.02,0.0,0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
yqtl,-0.43,-0.02,0.28,0.04,-0.01,0.03,0.04,-0.01,-0.0,0.04,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,-0.0,-0.0,-0.0
wqtl,-0.15,0.03,0.01,0.01,-0.01,0.08,-0.01,-0.01,-0.0,0.02,-0.0,0.02,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
infc,-0.16,0.01,0.03,0.03,0.01,0.06,0.02,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
impv,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,0.12,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cohoF,-0.23,-0.02,0.32,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
infa,-0.39,0.48,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
